epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2979.1,0.74904,3.18809,1.3964,0.41558,0.55461,0.47452,0.37482,0.80533,3.09717,1.43662,0.000175034,0.000175034,0.000175034
2,5793.84,0.72091,2.1054,1.36148,0.58779,0.61083,0.61135,0.441,0.91476,2.3085,1.50727,0.00034343,0.00034343,0.00034343
