epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.19467,2.41992,0.15789,0.57895,2.46012,7.337e-05,7.337e-05,7.337e-05
2,13.5568,1.56775,0.10526,0.57895,2.57175,0.000150372,0.000150372,0.000150372
3,19.2758,0.84554,0.26316,0.57895,3.00814,0.000224205,0.000224205,0.000224205
4,24.597,0.40306,0.26316,0.47368,4.01445,0.000294869,0.000294869,0.000294869
5,30.8424,0.15686,0.26316,0.47368,4.58569,0.000362362,0.000362362,0.000362362
6,38.285,0.06657,0.26316,0.52632,4.74045,0.000426687,0.000426687,0.000426687
7,45.0667,0.04612,0.26316,0.36842,4.68491,0.000487841,0.000487841,0.000487841
8,50.6056,0.0351,0.26316,0.36842,5.10608,0.000545826,0.000545826,0.000545826
9,56.1364,0.02257,0.26316,0.36842,5.7977,0.000561347,0.000561347,0.000561347
10,62.0788,0.00471,0.26316,0.42105,5.8998,0.000548141,0.000548141,0.000548141
11,67.5153,0.00589,0.26316,0.42105,6.21401,0.000534934,0.000534934,0.000534934
12,73.195,0.01155,0.26316,0.42105,6.36918,0.000521727,0.000521727,0.000521727
13,78.8449,0.02706,0.26316,0.42105,6.29229,0.000508521,0.000508521,0.000508521
14,84.7497,0.00388,0.26316,0.42105,6.10895,0.000495314,0.000495314,0.000495314
15,91.0723,0.00752,0.26316,0.47368,6.00376,0.000482108,0.000482108,0.000482108
16,96.9409,0.00316,0.26316,0.47368,6.06135,0.000468901,0.000468901,0.000468901
17,103.254,0.00224,0.26316,0.47368,6.01543,0.000455694,0.000455694,0.000455694
18,109.65,0.0015,0.26316,0.42105,5.89879,0.000442488,0.000442488,0.000442488
19,115.669,0.00314,0.26316,0.47368,5.88635,0.000429281,0.000429281,0.000429281
20,121.908,0.00476,0.26316,0.52632,6.23855,0.000416075,0.000416075,0.000416075
21,128.367,0.00458,0.26316,0.47368,6.21405,0.000402868,0.000402868,0.000402868
22,134.911,0.00236,0.26316,0.47368,6.14791,0.000389661,0.000389661,0.000389661
23,141,0.00079,0.26316,0.47368,6.19006,0.000376455,0.000376455,0.000376455
24,147.731,0.0021,0.26316,0.47368,6.2581,0.000363248,0.000363248,0.000363248
25,154.093,0.00549,0.26316,0.36842,6.40264,0.000350042,0.000350042,0.000350042
26,160.539,0.00183,0.26316,0.36842,6.30891,0.000336835,0.000336835,0.000336835
27,166.873,0.0037,0.26316,0.42105,6.50041,0.000323628,0.000323628,0.000323628
28,173.81,0.00207,0.26316,0.36842,6.28096,0.000310422,0.000310422,0.000310422
29,180.481,0.01208,0.26316,0.42105,6.1755,0.000297215,0.000297215,0.000297215
30,187.118,0.00403,0.26316,0.47368,6.00035,0.000284009,0.000284009,0.000284009
31,194.365,0.00543,0.26316,0.47368,6.02628,0.000270802,0.000270802,0.000270802
32,201.51,0.00107,0.26316,0.47368,5.92241,0.000257595,0.000257595,0.000257595
33,208.577,0.00331,0.26316,0.47368,5.93561,0.000244389,0.000244389,0.000244389
34,215.766,0.00141,0.26316,0.47368,5.85929,0.000231182,0.000231182,0.000231182
35,222.971,0.00139,0.26316,0.47368,5.98048,0.000217976,0.000217976,0.000217976
36,229.827,0.00076,0.26316,0.47368,6.04097,0.000204769,0.000204769,0.000204769
37,236.677,0.00208,0.26316,0.47368,6.13485,0.000191562,0.000191562,0.000191562
38,243.859,0.001,0.26316,0.47368,6.19584,0.000178356,0.000178356,0.000178356
39,250.852,0.00295,0.26316,0.47368,6.29099,0.000165149,0.000165149,0.000165149
40,258.277,0.00095,0.26316,0.47368,6.21939,0.000151943,0.000151943,0.000151943
41,265.089,0.00098,0.26316,0.47368,6.25853,0.000138736,0.000138736,0.000138736
42,272.497,0.00178,0.26316,0.47368,6.2964,0.000125529,0.000125529,0.000125529
43,280.156,0.00122,0.26316,0.47368,6.21137,0.000112323,0.000112323,0.000112323
44,287.668,0.00227,0.26316,0.47368,6.47522,9.91162e-05,9.91162e-05,9.91162e-05
45,295.334,0.00076,0.26316,0.47368,6.3719,8.59096e-05,8.59096e-05,8.59096e-05
46,302.681,0.00121,0.26316,0.47368,6.42085,7.2703e-05,7.2703e-05,7.2703e-05
47,309.979,0.0014,0.26316,0.47368,6.40931,5.94964e-05,5.94964e-05,5.94964e-05
48,317.179,0.00157,0.26316,0.47368,6.5331,4.62898e-05,4.62898e-05,4.62898e-05
49,324.537,0.00061,0.26316,0.47368,6.45466,3.30832e-05,3.30832e-05,3.30832e-05
50,331.721,0.00329,0.26316,0.47368,6.55888,1.98766e-05,1.98766e-05,1.98766e-05
