epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2132.54,0.84453,3.30514,3.20378,1.37202,0.39401,0.4796,0.42514,0.31417,0.36812,0.43995,0.38103,0.19732,0.88268,2.78723,3.21823,1.49643,0.000174959,0.000174959,0.000174959
2,4451.94,0.82301,2.80876,2.14176,1.34731,0.55921,0.63268,0.61934,0.47956,0.53346,0.58597,0.55793,0.30464,0.83474,2.70792,2.34167,1.43997,0.000327173,0.000327173,0.000327173
3,6690.59,0.81971,2.73902,1.88388,1.33828,0.60553,0.62857,0.65325,0.48915,0.57562,0.58429,0.59201,0.30477,0.87542,2.71688,2.15655,1.45418,0.000456244,0.000456244,0.000456244
4,8907.04,0.79333,2.7229,1.69876,1.32466,0.70438,0.70495,0.72921,0.57522,0.67333,0.66573,0.66218,0.36249,0.78458,2.61273,1.71084,1.35674,0.000421852,0.000421852,0.000421852
5,11123.4,0.77113,2.64382,1.56814,1.30174,0.67114,0.70835,0.74144,0.58437,0.65002,0.6638,0.67309,0.3751,0.75758,2.62049,1.57117,1.335,0.000387136,0.000387136,0.000387136
6,13088.7,0.58253,2.40486,1.458,1.37214,0.75107,0.7492,0.7878,0.63755,0.7062,0.70371,0.71197,0.39499,0.75511,2.46524,1.35963,1.31677,0.00035242,0.00035242,0.00035242
7,15065.8,0.55672,2.35241,1.23528,1.33159,0.79871,0.74614,0.80623,0.66643,0.77128,0.71292,0.74855,0.43256,0.712,2.45261,1.25093,1.23925,0.000317704,0.000317704,0.000317704
8,17009.4,0.54028,2.28547,1.08039,1.32034,0.82547,0.78197,0.83679,0.6887,0.78397,0.7526,0.76999,0.43085,0.70229,2.40079,1.03537,1.26123,0.000282988,0.000282988,0.000282988
9,18940.7,0.50809,2.23627,0.98037,1.28749,0.8254,0.77346,0.82958,0.69458,0.79153,0.72214,0.74945,0.42762,0.66318,2.3483,1.06942,1.19958,0.000248272,0.000248272,0.000248272
10,20907.7,0.49607,2.18949,0.89897,1.2782,0.86306,0.82402,0.86553,0.72638,0.82208,0.78084,0.79139,0.454,0.6534,2.28654,0.9237,1.16829,0.000213556,0.000213556,0.000213556
11,22769.4,0.47891,2.13848,0.83935,1.26517,0.8522,0.81895,0.85368,0.71749,0.81461,0.77857,0.78591,0.46661,0.64208,2.22728,0.94809,1.15042,0.00017884,0.00017884,0.00017884
12,24402.7,0.46893,2.08511,0.77765,1.24743,0.86782,0.84325,0.86743,0.73369,0.82434,0.79885,0.79575,0.4647,0.64244,2.28897,0.86862,1.16273,0.000144124,0.000144124,0.000144124
13,25912.9,0.44822,2.04178,0.70771,1.23884,0.88451,0.83377,0.87646,0.74821,0.8482,0.79086,0.80934,0.47285,0.61318,2.18591,0.83774,1.12589,0.000109408,0.000109408,0.000109408
14,27286.9,0.44492,2.00879,0.67041,1.23002,0.89456,0.8444,0.88367,0.75258,0.86134,0.81234,0.82353,0.48361,0.62553,2.15207,0.8089,1.11123,7.4692e-05,7.4692e-05,7.4692e-05
15,28894.5,0.42552,1.9335,0.63123,1.21445,0.87855,0.85424,0.86957,0.74312,0.84533,0.81645,0.81169,0.48348,0.61114,2.17274,0.83231,1.10265,3.9976e-05,3.9976e-05,3.9976e-05
