epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.78143,2.41992,0.15789,0.57895,2.46012,7.337e-05,7.337e-05,7.337e-05
2,13.1801,1.57234,0.10526,0.57895,2.56916,0.000148347,0.000148347,0.000148347
3,19.9721,0.85747,0.26316,0.57895,2.9856,0.000218042,0.000218042,0.000218042
4,27.7755,0.41689,0.26316,0.47368,3.93808,0.000282454,0.000282454,0.000282454
5,34.908,0.16666,0.26316,0.47368,4.4928,0.000341584,0.000341584,0.000341584
6,41.6146,0.07352,0.26316,0.52632,4.64201,0.000395431,0.000395431,0.000395431
7,48.7731,0.0508,0.26316,0.36842,4.56655,0.000443995,0.000443995,0.000443995
8,56.9746,0.0381,0.26316,0.36842,4.93222,0.000487277,0.000487277,0.000487277
9,64.1883,0.02495,0.26316,0.36842,5.53463,0.000490912,0.000490912,0.000490912
10,71.058,0.00557,0.26316,0.42105,5.59913,0.000468901,0.000468901,0.000468901
11,77.9031,0.00695,0.26316,0.42105,5.87811,0.00044689,0.00044689,0.00044689
12,87.0837,0.013,0.26316,0.42105,6.00391,0.000424879,0.000424879,0.000424879
13,95.2394,0.02644,0.26316,0.42105,5.95972,0.000402868,0.000402868,0.000402868
14,102.267,0.00466,0.26316,0.42105,5.86889,0.000380857,0.000380857,0.000380857
15,109.989,0.0077,0.26316,0.52632,5.80923,0.000358846,0.000358846,0.000358846
16,118.361,0.00326,0.26316,0.47368,5.88974,0.000336835,0.000336835,0.000336835
17,125.722,0.00275,0.26316,0.52632,5.8468,0.000314824,0.000314824,0.000314824
18,132.643,0.00182,0.26316,0.52632,5.72517,0.000292813,0.000292813,0.000292813
19,141.26,0.00371,0.26316,0.47368,5.7027,0.000270802,0.000270802,0.000270802
20,150.855,0.00556,0.26316,0.57895,6.00479,0.000248791,0.000248791,0.000248791
21,160.268,0.00208,0.26316,0.47368,5.9644,0.00022678,0.00022678,0.00022678
22,168.748,0.011,0.26316,0.47368,6.1563,0.000204769,0.000204769,0.000204769
23,179.419,0.00256,0.26316,0.52632,5.94615,0.000182758,0.000182758,0.000182758
24,187.115,0.00692,0.26316,0.47368,6.0398,0.000160747,0.000160747,0.000160747
25,193.699,0.00249,0.26316,0.52632,6.10086,0.000138736,0.000138736,0.000138736
26,201.797,0.00389,0.26316,0.47368,5.94933,0.000116725,0.000116725,0.000116725
27,210.737,0.00795,0.26316,0.42105,5.96487,9.4714e-05,9.4714e-05,9.4714e-05
28,219.257,0.00118,0.26316,0.47368,5.93651,7.2703e-05,7.2703e-05,7.2703e-05
29,226.662,0.00222,0.26316,0.47368,5.91013,5.0692e-05,5.0692e-05,5.0692e-05
30,235.84,0.00203,0.26316,0.42105,5.94944,2.8681e-05,2.8681e-05,2.8681e-05
