epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.7674,1.71414,0.21053,0.47368,3.38432,0.000217701,0.000217701,0.000217701
2,53.9117,0.3735,0.21053,0.52632,5.36781,0.000431322,0.000431322,0.000431322
3,78.6502,0.07718,0.26316,0.52632,7.05644,0.000636138,0.000636138,0.000636138
4,106.167,0.07491,0.26316,0.57895,8.25187,0.00062738,0.00062738,0.00062738
5,128.949,0.05943,0.26316,0.57895,5.64469,0.000614174,0.000614174,0.000614174
6,151.699,0.04722,0.21053,0.52632,8.82785,0.000600967,0.000600967,0.000600967
7,176.235,0.02211,0.21053,0.63158,9.12712,0.00058776,0.00058776,0.00058776
8,203.562,0.01479,0.26316,0.57895,7.41234,0.000574554,0.000574554,0.000574554
9,231.103,0.01762,0.26316,0.47368,9.48999,0.000561347,0.000561347,0.000561347
10,256.908,0.01192,0.26316,0.57895,9.54839,0.000548141,0.000548141,0.000548141
11,281.057,0.0238,0.26316,0.57895,8.87444,0.000534934,0.000534934,0.000534934
12,305.934,0.02809,0.26316,0.57895,8.69643,0.000521727,0.000521727,0.000521727
13,329.176,0.01543,0.26316,0.52632,8.26988,0.000508521,0.000508521,0.000508521
14,351.906,0.01348,0.26316,0.47368,10.5152,0.000495314,0.000495314,0.000495314
15,376.117,0.00756,0.26316,0.52632,10.4509,0.000482108,0.000482108,0.000482108
16,401.335,0.00614,0.26316,0.52632,10.167,0.000468901,0.000468901,0.000468901
17,425.554,0.00494,0.26316,0.57895,10.3574,0.000455694,0.000455694,0.000455694
18,448.876,0.00285,0.26316,0.63158,10.4327,0.000442488,0.000442488,0.000442488
19,472.713,0.00406,0.26316,0.57895,9.89822,0.000429281,0.000429281,0.000429281
20,497.577,0.00192,0.26316,0.57895,10.2783,0.000416075,0.000416075,0.000416075
21,521.201,0.00155,0.26316,0.57895,10.4673,0.000402868,0.000402868,0.000402868
22,545.129,0.00139,0.26316,0.57895,10.9622,0.000389661,0.000389661,0.000389661
23,570.437,0.00111,0.26316,0.57895,11.2805,0.000376455,0.000376455,0.000376455
24,596.8,0.00163,0.26316,0.57895,11.2049,0.000363248,0.000363248,0.000363248
25,624.438,0.0107,0.26316,0.47368,9.84134,0.000350042,0.000350042,0.000350042
26,651.142,0.00642,0.26316,0.52632,10.5972,0.000336835,0.000336835,0.000336835
27,678.438,0.00194,0.26316,0.63158,9.98165,0.000323628,0.000323628,0.000323628
28,708.434,0.00269,0.26316,0.57895,9.75691,0.000310422,0.000310422,0.000310422
29,736.724,0.00156,0.26316,0.63158,9.93295,0.000297215,0.000297215,0.000297215
30,762.503,0.00397,0.26316,0.63158,9.0461,0.000284009,0.000284009,0.000284009
31,786.859,0.00354,0.26316,0.63158,9.62752,0.000270802,0.000270802,0.000270802
32,812.037,0.00284,0.26316,0.68421,10.075,0.000257595,0.000257595,0.000257595
33,838.078,0.00222,0.26316,0.57895,11.1681,0.000244389,0.000244389,0.000244389
34,866.461,0.00194,0.26316,0.52632,10.4142,0.000231182,0.000231182,0.000231182
35,891.548,0.00275,0.26316,0.68421,10.5745,0.000217976,0.000217976,0.000217976
36,915.577,0.00115,0.26316,0.57895,11.7188,0.000204769,0.000204769,0.000204769
37,938.398,0.00114,0.26316,0.36842,12.293,0.000191562,0.000191562,0.000191562
38,962.283,0.00263,0.26316,0.47368,11.5767,0.000178356,0.000178356,0.000178356
39,985.839,0.00086,0.26316,0.42105,11.984,0.000165149,0.000165149,0.000165149
40,1011.93,0.00057,0.26316,0.47368,11.8389,0.000151943,0.000151943,0.000151943
41,1037.38,0.001,0.26316,0.42105,12.0473,0.000138736,0.000138736,0.000138736
42,1060.42,0.00072,0.26316,0.52632,11.7623,0.000125529,0.000125529,0.000125529
43,1084.79,0.00072,0.26316,0.42105,11.8775,0.000112323,0.000112323,0.000112323
44,1109.82,0.00061,0.26316,0.47368,11.7981,9.91162e-05,9.91162e-05,9.91162e-05
45,1133.85,0.00351,0.26316,0.47368,11.5955,8.59096e-05,8.59096e-05,8.59096e-05
46,1158.58,0.00106,0.26316,0.42105,12.1239,7.2703e-05,7.2703e-05,7.2703e-05
47,1181.53,0.00202,0.26316,0.36842,11.8426,5.94964e-05,5.94964e-05,5.94964e-05
48,1205.19,0.0022,0.26316,0.36842,11.8258,4.62898e-05,4.62898e-05,4.62898e-05
49,1231.06,0.0016,0.26316,0.42105,11.4143,3.30832e-05,3.30832e-05,3.30832e-05
50,1253.83,0.00061,0.26316,0.42105,11.1741,1.98766e-05,1.98766e-05,1.98766e-05
